"subj" "sess" "dist" "prop" "instr" "resp" "rt" "tr_id" "acc" "block"
"1" "jf" 2 1 0 0 1 275 16 1 3
"2" "jf" 2 1 0 0 1 312 79 1 3
"3" "jf" 2 1 0 0 1 297 35 1 8
"4" "jf" 2 1 0 0 1 345 59 1 8
"5" "jf" 3 1 0 0 1 345 4 1 5
"6" "jf" 3 1 0 0 1 313 43 1 5
"7" "jf" 3 1 0 0 1 270 99 1 6
"8" "jf" 4 1 0 0 1 313 15 1 3
"9" "jf" 4 1 0 0 1 296 26 1 3
"10" "jf" 4 1 0 0 1 405 28 1 8
"11" "jf" 5 1 0 0 1 336 95 1 1
"12" "jf" 5 1 0 0 1 376 60 1 2
"13" "jf" 5 1 0 0 1 387 71 1 5
"14" "jf" 6 1 0 0 1 287 43 1 2
"15" "jf" 6 1 0 0 1 397 84 1 2
"16" "jf" 6 1 0 0 1 357 4 1 6
"17" "jf" 6 1 0 0 1 335 69 1 6
"18" "jf" 7 1 0 0 1 323 17 1 7
"19" "jf" 7 1 0 0 1 423 40 1 7
"20" "jf" 8 1 0 0 1 337 66 1 6
"21" "jf" 9 1 0 0 1 315 66 1 7
"22" "jf" 10 1 0 0 1 414 5 1 1
"23" "jf" 10 1 0 0 1 327 44 1 1
"24" "jf" 10 2 0 0 1 300 62 0 2
"25" "jf" 10 1 0 0 1 354 27 1 5
"26" "jf" 11 1 0 0 1 336 74 1 4
"27" "jf" 11 1 0 0 1 274 9 1 7
"28" "jf" 11 1 0 0 1 371 86 1 7
"29" "jf" 11 1 0 0 2 366 66 0 8
"30" "jf" 1 1 1 0 1 419 56 1 2
"31" "jf" 1 1 1 0 1 376 70 1 5
"32" "jf" 1 1 1 0 1 356 67 1 6
"33" "jf" 2 1 1 0 1 298 52 1 3
"34" "jf" 2 1 1 0 1 298 40 1 7
"35" "jf" 2 1 1 0 2 309 41 0 7
"36" "jf" 3 1 1 0 1 326 58 1 2
"37" "jf" 4 1 1 0 1 334 15 1 4
"38" "jf" 4 1 1 0 1 298 85 1 4
"39" "jf" 4 1 1 0 1 333 73 1 7
"40" "jf" 5 1 1 0 1 346 79 1 6
"41" "jf" 5 1 1 0 1 351 91 1 6
"42" "jf" 6 1 1 0 1 333 101 1 2
"43" "jf" 6 1 1 0 1 364 16 1 6
"44" "jf" 7 1 1 0 2 390 84 0 7
"45" "jf" 7 1 1 0 1 256 31 1 8
"46" "jf" 8 1 1 0 1 335 63 1 1
"47" "jf" 8 1 1 0 1 305 42 1 5
"48" "jf" 8 1 1 0 1 308 81 1 5
"49" "jf" 9 1 1 0 2 384 98 0 4
"50" "jf" 9 1 1 0 1 306 12 1 8
"51" "jf" 9 1 1 0 1 311 35 1 8
"52" "jf" 10 1 1 0 1 324 3 1 2
"53" "jf" 10 1 1 0 1 256 18 1 2
"54" "jf" 11 1 1 0 1 303 29 1 4
"55" "jf" 11 1 1 0 1 290 37 1 7
"56" "jf" 11 1 1 0 1 255 54 1 7
"57" "jf" 11 1 1 0 1 342 98 1 8
"58" "jf" 1 1 2 0 1 396 42 1 1
"59" "jf" 1 1 2 0 1 414 28 1 2
"60" "jf" 1 1 2 0 1 401 65 1 2
"61" "jf" 1 1 2 0 2 276 61 0 5
"62" "jf" 1 1 2 0 1 287 76 1 5
"63" "jf" 2 1 2 0 1 297 14 1 7
"64" "jf" 2 1 2 0 1 248 19 1 7
"65" "jf" 3 1 2 0 1 347 66 1 2
"66" "jf" 3 1 2 0 1 267 35 1 6
"67" "jf" 3 1 2 0 1 330 49 1 6
