"subj" "sess" "dist" "prop" "instr" "resp" "rt" "tr_id" "acc" "block"
"1" "jf" 5 1 0 0 1 336 95 1 1
"2" "jf" 10 1 0 0 1 414 5 1 1
"3" "jf" 10 1 0 0 1 327 44 1 1
"4" "jf" 8 1 1 0 1 335 63 1 1
"5" "jf" 1 1 2 0 1 396 42 1 1
"6" "jf" 6 1 2 0 1 284 101 1 1
"7" "jf" 8 1 2 0 1 361 62 1 1
"8" "jf" 10 1 2 0 1 293 34 1 1
"9" "jf" 10 2 2 0 1 330 48 0 1
"10" "jf" 5 1 3 0 1 328 9 1 1
"11" "jf" 5 2 3 0 1 301 21 0 1
"12" "jf" 6 1 3 0 1 270 3 1 1
"13" "jf" 8 1 3 0 1 337 11 1 1
"14" "jf" 10 1 3 0 1 323 46 1 1
"15" "jf" 5 2 4 0 1 318 8 0 1
"16" "jf" 5 1 4 0 1 316 94 1 1
"17" "jf" 8 1 4 0 1 293 15 1 1
"18" "jf" 8 1 4 0 1 321 26 1 1
"19" "jf" 10 1 4 0 2 392 9 0 1
"20" "jf" 10 1 4 0 1 389 13 1 1
"21" "jf" 10 1 4 0 1 324 23 1 1
"22" "jf" 10 1 4 0 1 410 84 1 1
"23" "jf" 10 1 4 0 1 349 85 1 1
"24" "jf" 10 2 4 0 1 345 94 0 1
"25" "jf" 10 1 4 0 1 310 95 1 1
"26" "jf" 1 1 5 0 1 391 45 1 1
"27" "jf" 1 1 5 0 1 441 90 1 1
"28" "jf" 3 1 5 0 1 354 46 1 1
"29" "jf" 5 1 5 0 1 263 26 1 1
"30" "jf" 5 1 5 0 1 378 80 1 1
"31" "jf" 5 1 5 0 1 365 90 1 1
"32" "jf" 8 1 5 0 1 371 64 1 1
"33" "jf" 10 1 5 0 1 501 3 1 1
"34" "jf" 10 1 5 0 1 383 14 1 1
"35" "jf" 10 1 5 0 1 299 21 1 1
"36" "jf" 10 1 5 0 1 349 77 1 1
"37" "jf" 1 1 6 0 1 437 3 1 1
"38" "jf" 1 1 6 0 1 369 18 1 1
"39" "jf" 1 1 6 0 1 237 95 1 1
"40" "jf" 3 1 6 0 1 349 55 1 1
"41" "jf" 3 1 6 0 1 320 72 1 1
"42" "jf" 5 1 6 0 1 252 60 1 1
"43" "jf" 6 2 6 0 1 238 14 0 1
"44" "jf" 6 1 6 0 2 261 21 0 1
"45" "jf" 6 1 6 0 1 348 40 1 1
"46" "jf" 6 1 6 0 1 370 46 1 1
"47" "jf" 6 1 6 0 1 346 54 1 1
"48" "jf" 6 1 6 0 1 293 100 1 1
"49" "jf" 8 1 6 0 1 275 31 1 1
"50" "jf" 8 1 6 0 1 275 38 1 1
"51" "jf" 8 1 6 0 1 307 51 1 1
"52" "jf" 8 1 6 0 1 338 78 1 1
"53" "jf" 10 1 6 0 1 277 32 1 1
"54" "jf" 3 1 7 0 1 386 67 1 1
"55" "jf" 3 1 7 0 1 316 102 1 1
"56" "jf" 5 1 7 0 1 351 3 1 1
"57" "jf" 5 1 7 0 1 301 28 1 1
"58" "jf" 5 1 7 0 1 284 82 1 1
"59" "jf" 6 1 7 0 1 371 64 1 1
"60" "jf" 8 1 7 0 2 331 40 0 1
"61" "jf" 10 1 7 0 1 305 26 1 1
"62" "jf" 10 1 7 0 1 239 58 1 1
"63" "jf" 1 1 8 0 1 478 13 1 1
"64" "jf" 1 1 8 0 2 287 30 0 1
"65" "jf" 3 1 8 0 1 396 62 1 1
"66" "jf" 5 1 8 0 1 271 69 1 1
"67" "jf" 5 2 8 0 1 207 78 0 1
"68" "jf" 6 1 8 0 1 263 6 1 1
"69" "jf" 6 1 8 0 1 220 25 1 1
"70" "jf" 6 1 8 0 1 324 87 1 1
"71" "jf" 6 2 8 0 1 405 91 0 1
"72" "jf" 8 1 8 0 1 277 5 1 1
"73" "jf" 8 1 8 0 1 276 7 1 1
"74" "jf" 8 1 8 0 1 303 29 1 1
"75" "jf" 8 1 8 0 1 292 55 1 1
"76" "jf" 8 2 8 0 1 320 67 0 1
"77" "jf" 8 2 8 0 1 461 69 0 1
"78" "jf" 8 1 8 0 1 362 70 1 1
"79" "jf" 8 1 8 0 1 341 77 1 1
"80" "jf" 10 1 8 0 2 266 28 0 1
"81" "jf" 10 1 8 0 1 222 42 1 1
"82" "jf" 10 1 8 0 1 283 52 1 1
"83" "jf" 10 1 8 0 1 393 99 1 1
"84" "jf" 1 1 9 0 1 329 31 1 1
"85" "jf" 1 1 9 0 2 370 58 0 1
"86" "jf" 3 1 9 0 1 354 60 1 1
"87" "jf" 3 1 9 0 1 348 73 1 1
"88" "jf" 5 1 9 0 1 239 14 1 1
"89" "jf" 5 1 9 0 1 251 20 1 1
"90" "jf" 5 1 9 0 1 278 45 1 1
"91" "jf" 5 1 9 0 1 255 51 1 1
"92" "jf" 5 1 9 0 1 317 70 1 1
"93" "jf" 5 1 9 0 1 350 72 1 1
"94" "jf" 5 1 9 0 1 223 76 1 1
"95" "jf" 5 1 9 0 1 386 96 1 1
"96" "jf" 6 1 9 0 1 214 20 1 1
"97" "jf" 6 2 9 0 1 365 43 0 1
"98" "jf" 6 1 9 0 1 355 58 1 1
"99" "jf" 6 1 9 0 1 238 73 1 1
"100" "jf" 8 1 9 0 1 321 94 1 1
"101" "jf" 10 1 9 0 1 266 35 1 1
"102" "jf" 1 1 10 0 1 283 38 1 1
"103" "jf" 1 2 10 0 1 329 44 0 1
"104" "jf" 3 1 10 0 1 370 8 1 1
"105" "jf" 3 1 10 0 1 337 28 1 1
"106" "jf" 3 1 10 0 1 363 50 1 1
"107" "jf" 3 1 10 0 1 446 54 1 1
"108" "jf" 3 2 10 0 1 280 96 0 1
"109" "jf" 5 1 10 0 1 343 7 1 1
"110" "jf" 5 1 10 0 1 356 23 1 1
"111" "jf" 5 1 10 0 1 268 29 1 1
"112" "jf" 5 2 10 0 1 278 31 0 1
"113" "jf" 5 1 10 0 1 237 47 1 1
"114" "jf" 5 1 10 0 2 330 52 0 1
"115" "jf" 5 2 10 0 1 279 79 0 1
"116" "jf" 6 1 10 0 1 238 66 1 1
"117" "jf" 6 1 10 0 1 322 78 1 1
"118" "jf" 8 1 10 0 2 349 2 0 1
"119" "jf" 8 1 10 0 1 336 25 1 1
"120" "jf" 8 1 10 0 1 287 27 1 1
"121" "jf" 8 1 10 0 1 442 58 1 1
"122" "jf" 8 1 10 0 1 376 60 1 1
"123" "jf" 8 1 10 0 1 314 100 1 1
"124" "jf" 8 1 10 0 1 359 102 1 1
"125" "jf" 10 1 10 0 1 272 17 1 1
"126" "jf" 10 1 10 0 1 233 30 1 1
"127" "jf" 10 1 10 0 1 261 56 1 1
"128" "jf" 10 1 10 0 1 288 67 1 1
"129" "jf" 10 2 10 0 1 314 71 0 1
"130" "jf" 1 1 11 0 1 415 47 1 1
"131" "jf" 1 2 11 0 1 262 49 0 1
"132" "jf" 1 1 11 0 1 325 80 1 1
"133" "jf" 1 1 11 0 1 374 98 1 1
"134" "jf" 3 2 11 0 1 351 16 0 1
"135" "jf" 3 1 11 0 1 319 20 1 1
"136" "jf" 3 1 11 0 2 342 29 0 1
"137" "jf" 3 1 11 0 1 353 98 1 1
"138" "jf" 3 2 11 0 1 403 100 0 1
"139" "jf" 5 2 11 0 1 318 24 0 1
"140" "jf" 5 1 11 0 1 353 97 1 1
"141" "jf" 6 1 11 0 1 298 4 1 1
"142" "jf" 8 1 11 0 1 304 16 1 1
"143" "jf" 8 1 11 0 1 287 28 1 1
"144" "jf" 8 1 11 0 1 354 52 1 1
"145" "jf" 8 1 11 0 1 310 66 1 1
"146" "jf" 8 1 11 0 1 450 73 1 1
"147" "jf" 10 1 11 0 1 268 15 1 1
"148" "jf" 10 2 11 0 1 316 31 0 1
"149" "jf" 10 1 11 0 1 286 51 1 1
"150" "jf" 10 1 11 0 1 338 91 1 1
"151" "jf" 10 1 11 0 1 273 101 1 1
"152" "jf" 1 1 12 0 1 382 99 1 1
"153" "jf" 1 1 12 0 1 399 100 1 1
"154" "jf" 3 1 12 0 1 461 6 1 1
"155" "jf" 3 2 12 0 1 261 23 0 1
"156" "jf" 3 1 12 0 1 360 41 1 1
"157" "jf" 3 1 12 0 1 321 57 1 1
"158" "jf" 3 1 12 0 1 370 76 1 1
"159" "jf" 3 1 12 0 1 288 90 1 1
"160" "jf" 5 1 12 0 2 396 1 0 1
"161" "jf" 5 2 12 0 1 285 30 0 1
"162" "jf" 5 1 12 0 1 406 87 1 1
"163" "jf" 6 1 12 0 1 282 18 1 1
"164" "jf" 6 2 12 0 1 270 23 0 1
"165" "jf" 6 1 12 0 1 307 31 1 1
"166" "jf" 6 2 12 0 1 253 37 0 1
"167" "jf" 6 1 12 0 1 292 38 1 1
"168" "jf" 6 2 12 0 1 310 99 0 1
"169" "jf" 6 1 12 0 2 411 102 0 1
"170" "jf" 8 1 12 0 1 408 1 1 1
"171" "jf" 8 2 12 0 1 353 47 0 1
"172" "jf" 8 2 12 0 1 330 68 0 1
"173" "jf" 8 1 12 0 1 288 93 1 1
"174" "jf" 8 2 12 0 1 305 99 0 1
"175" "jf" 10 2 12 0 1 326 73 0 1
"176" "jf" 10 1 12 0 1 317 97 1 1
"177" "jf" 10 2 12 0 1 301 98 0 1
"178" "jf" 1 1 13 0 2 228 43 0 1
"179" "jf" 1 2 13 0 2 415 62 1 1
"180" "jf" 1 1 13 0 1 395 67 1 1
"181" "jf" 1 1 13 0 1 330 68 1 1
"182" "jf" 1 1 13 0 1 286 85 1 1
"183" "jf" 1 1 13 0 1 266 86 1 1
"184" "jf" 1 1 13 0 1 349 101 1 1
"185" "jf" 3 2 13 0 1 368 14 0 1
"186" "jf" 3 1 13 0 1 388 86 1 1
"187" "jf" 3 1 13 0 1 340 101 1 1
"188" "jf" 5 1 13 0 2 234 57 0 1
"189" "jf" 6 1 13 0 1 304 17 1 1
"190" "jf" 6 1 13 0 1 331 32 1 1
"191" "jf" 6 1 13 0 1 353 42 1 1
"192" "jf" 6 1 13 0 1 346 51 1 1
"193" "jf" 6 2 13 0 2 393 55 1 1
"194" "jf" 6 2 13 0 1 356 60 0 1
"195" "jf" 6 1 13 0 1 349 79 1 1
"196" "jf" 6 2 13 0 1 349 84 0 1
"197" "jf" 8 1 13 0 1 393 10 1 1
"198" "jf" 8 1 13 0 1 429 24 1 1
"199" "jf" 8 1 13 0 2 347 39 0 1
"200" "jf" 8 1 13 0 1 308 46 1 1
"201" "jf" 8 2 13 0 2 325 48 1 1
"202" "jf" 8 1 13 0 1 293 98 1 1
"203" "jf" 10 1 13 0 1 478 10 1 1
"204" "jf" 10 2 13 0 1 216 33 0 1
"205" "jf" 10 1 13 0 1 286 65 1 1
"206" "jf" 10 1 13 0 1 334 78 1 1
"207" "jf" 10 2 13 0 1 351 93 0 1
"208" "jf" 1 1 14 0 1 435 33 1 1
"209" "jf" 1 1 14 0 1 377 83 1 1
"210" "jf" 3 2 14 0 1 369 34 0 1
"211" "jf" 3 2 14 0 2 474 51 1 1
"212" "jf" 3 1 14 0 1 391 94 1 1
"213" "jf" 5 2 14 0 1 269 15 0 1
"214" "jf" 5 1 14 0 1 364 18 1 1
"215" "jf" 5 1 14 0 1 301 27 1 1
"216" "jf" 5 1 14 0 1 289 40 1 1
"217" "jf" 5 2 14 0 1 302 48 0 1
"218" "jf" 5 2 14 0 1 235 58 0 1
"219" "jf" 5 1 14 0 1 287 66 1 1
"220" "jf" 5 1 14 0 1 300 71 1 1
"221" "jf" 6 1 14 0 2 358 33 0 1
"222" "jf" 6 1 14 0 1 365 59 1 1
"223" "jf" 6 1 14 0 2 381 63 0 1
"224" "jf" 8 2 14 0 1 272 8 0 1
"225" "jf" 8 2 14 0 1 277 19 0 1
"226" "jf" 8 2 14 0 1 354 32 0 1
"227" "jf" 8 2 14 0 2 336 42 1 1
"228" "jf" 8 2 14 0 2 299 56 1 1
"229" "jf" 8 1 14 0 2 355 72 0 1
"230" "jf" 8 1 14 0 1 325 81 1 1
"231" "jf" 8 1 14 0 1 326 84 1 1
"232" "jf" 8 1 14 0 1 287 85 1 1
"233" "jf" 8 2 14 0 2 347 88 1 1
"234" "jf" 8 2 14 0 1 284 91 0 1
"235" "jf" 8 1 14 0 1 314 92 1 1
"236" "jf" 10 2 14 0 1 447 83 0 1
"237" "jf" 10 1 14 0 1 338 89 1 1
"238" "jf" 10 1 14 0 1 284 96 1 1
"239" "jf" 1 1 15 0 2 376 14 0 1
"240" "jf" 1 1 15 0 2 429 37 0 1
"241" "jf" 1 1 15 0 1 495 40 1 1
"242" "jf" 1 2 15 0 2 301 61 1 1
"243" "jf" 1 2 15 0 2 275 76 1 1
"244" "jf" 1 2 15 0 2 265 94 1 1
"245" "jf" 3 1 15 0 1 345 26 1 1
"246" "jf" 3 2 15 0 1 454 48 0 1
"247" "jf" 3 2 15 0 1 387 65 0 1
"248" "jf" 3 1 15 0 1 374 83 1 1
"249" "jf" 3 1 15 0 1 512 87 1 1
"250" "jf" 5 1 15 0 1 379 2 1 1
"251" "jf" 5 2 15 0 1 295 84 0 1
"252" "jf" 5 1 15 0 2 395 91 0 1
"253" "jf" 5 1 15 0 2 367 93 0 1
"254" "jf" 6 2 15 0 2 327 7 1 1
"255" "jf" 6 2 15 0 1 359 15 0 1
"256" "jf" 6 2 15 0 1 203 27 0 1
"257" "jf" 6 1 15 0 1 467 74 1 1
"258" "jf" 6 1 15 0 1 306 93 1 1
"259" "jf" 6 2 15 0 1 357 97 0 1
"260" "jf" 8 2 15 0 2 478 3 1 1
"261" "jf" 8 1 15 0 1 314 20 1 1
"262" "jf" 8 1 15 0 2 246 34 0 1
"263" "jf" 8 2 15 0 2 298 71 1 1
"264" "jf" 10 2 15 0 1 316 22 0 1
"265" "jf" 1 1 16 0 1 669 25 1 1
"266" "jf" 1 1 16 0 2 315 28 0 1
"267" "jf" 1 1 16 0 2 338 50 0 1
"268" "jf" 1 2 16 0 2 292 84 1 1
"269" "jf" 3 1 16 0 2 252 17 0 1
"270" "jf" 3 1 16 0 2 484 49 0 1
"271" "jf" 3 2 16 0 1 437 78 0 1
"272" "jf" 3 1 16 0 2 410 95 0 1
"273" "jf" 3 2 16 0 2 453 97 1 1
"274" "jf" 3 2 16 0 2 444 99 1 1
"275" "jf" 5 1 16 0 1 321 34 1 1
"276" "jf" 5 2 16 0 2 395 35 1 1
"277" "jf" 5 2 16 0 1 364 44 0 1
"278" "jf" 5 2 16 0 2 235 50 1 1
"279" "jf" 5 1 16 0 2 308 54 0 1
"280" "jf" 5 1 16 0 2 290 85 0 1
"281" "jf" 6 1 16 0 1 255 12 1 1
"282" "jf" 6 1 16 0 1 423 28 1 1
"283" "jf" 6 1 16 0 2 311 39 0 1
"284" "jf" 6 1 16 0 1 367 69 1 1
"285" "jf" 6 2 16 0 1 508 90 0 1
"286" "jf" 8 2 16 0 2 282 30 1 1
"287" "jf" 8 2 16 0 2 366 74 1 1
"288" "jf" 8 1 16 0 1 325 75 1 1
"289" "jf" 10 2 16 0 2 312 16 1 1
"290" "jf" 10 1 16 0 1 280 19 1 1
"291" "jf" 10 1 16 0 2 242 29 0 1
"292" "jf" 10 2 16 0 1 288 55 0 1
"293" "jf" 10 2 16 0 1 311 72 0 1
"294" "jf" 10 2 16 0 2 299 75 1 1
"295" "jf" 10 1 16 0 1 356 76 1 1
"296" "jf" 10 2 16 0 2 328 79 1 1
"297" "jf" 10 2 16 0 2 327 88 1 1
"298" "jf" 10 2 16 0 2 380 90 1 1
"299" "jf" 10 1 16 0 1 318 92 1 1
"300" "jf" 1 1 17 0 1 496 4 1 1
"301" "jf" 1 1 17 0 2 347 16 0 1
"302" "jf" 1 1 17 0 2 385 53 0 1
"303" "jf" 1 2 17 0 2 346 70 1 1
"304" "jf" 1 1 17 0 1 449 71 1 1
"305" "jf" 1 1 17 0 1 365 72 1 1
"306" "jf" 1 2 17 0 1 264 87 0 1
"307" "jf" 1 2 17 0 2 303 88 1 1
"308" "jf" 1 1 17 0 2 276 91 0 1
"309" "jf" 3 2 17 0 2 358 27 1 1
"310" "jf" 3 1 17 0 1 352 31 1 1
"311" "jf" 3 2 17 0 1 370 38 0 1
"312" "jf" 3 1 17 0 2 409 42 0 1
"313" "jf" 3 1 17 0 2 360 63 0 1
"314" "jf" 3 2 17 0 1 371 82 0 1
"315" "jf" 5 1 17 0 2 323 32 0 1
"316" "jf" 5 1 17 0 2 266 43 0 1
"317" "jf" 5 2 17 0 2 280 46 1 1
"318" "jf" 5 2 17 0 2 348 98 1 1
"319" "jf" 5 1 17 0 1 349 100 1 1
"320" "jf" 5 2 17 0 2 363 101 1 1
"321" "jf" 6 2 17 0 1 403 71 0 1
"322" "jf" 8 2 17 0 2 315 6 1 1
"323" "jf" 8 2 17 0 2 435 43 1 1
"324" "jf" 8 2 17 0 2 348 101 1 1
"325" "jf" 10 1 17 0 2 386 49 0 1
