"quant" "prob" "quant_rank" "instruction" "condition" "model"
"1" 0.538207539757539 0.48291 1 "accuracy" 1 "independent"
"2" 0.74028559539231 0.48291 2 "accuracy" 1 "independent"
"3" 0.973625669811446 0.48291 3 "accuracy" 1 "independent"
"4" 1.34063784969162 0.48291 4 "accuracy" 1 "independent"
"5" 2.20328411957005 0.48291 5 "accuracy" 1 "independent"
"6" 0.48970635117475 0.51709 1 "accuracy" 1 "independent"
"7" 0.665013203109751 0.51709 2 "accuracy" 1 "independent"
"8" 0.88460261037242 0.51709 3 "accuracy" 1 "independent"
"9" 1.24361835593965 0.51709 4 "accuracy" 1 "independent"
"10" 2.11406285292441 0.51709 5 "accuracy" 1 "independent"
"11" 0.537254657476854 0.5263 1 "accuracy" 2 "independent"
"12" 0.72993766076025 0.5263 2 "accuracy" 2 "independent"
"13" 0.957654931124519 0.5263 3 "accuracy" 2 "independent"
"14" 1.31229241547902 0.5263 4 "accuracy" 2 "independent"
"15" 2.14998204397755 0.5263 5 "accuracy" 2 "independent"
"16" 0.490905995556351 0.4737 1 "accuracy" 2 "independent"
"17" 0.66788278964398 0.4737 2 "accuracy" 2 "independent"
"18" 0.892612845129671 0.4737 3 "accuracy" 2 "independent"
"19" 1.25201349982898 0.4737 4 "accuracy" 2 "independent"
"20" 2.11855631334682 0.4737 5 "accuracy" 2 "independent"
"21" 0.530615603496111 0.56153 1 "accuracy" 3 "independent"
"22" 0.716918430735953 0.56153 2 "accuracy" 3 "independent"
"23" 0.939869418779717 0.56153 3 "accuracy" 3 "independent"
"24" 1.28767306628996 0.56153 4 "accuracy" 3 "independent"
"25" 2.11646007551182 0.56153 5 "accuracy" 3 "independent"
"26" 0.495458268501187 0.43847 1 "accuracy" 3 "independent"
"27" 0.678090464141921 0.43847 2 "accuracy" 3 "independent"
"28" 0.907345415108806 0.43847 3 "accuracy" 3 "independent"
"29" 1.27964564388563 0.43847 4 "accuracy" 3 "independent"
"30" 2.16001480993368 0.43847 5 "accuracy" 3 "independent"
"31" 0.526782187974772 0.6033 1 "accuracy" 4 "independent"
"32" 0.705367646562106 0.6033 2 "accuracy" 4 "independent"
"33" 0.919723955709026 0.6033 3 "accuracy" 4 "independent"
"34" 1.25534233053599 0.6033 4 "accuracy" 4 "independent"
"35" 2.04854688639103 0.6033 5 "accuracy" 4 "independent"
"36" 0.498053360397594 0.3967 1 "accuracy" 4 "independent"
"37" 0.685684077510566 0.3967 2 "accuracy" 4 "independent"
"38" 0.920087484294199 0.3967 3 "accuracy" 4 "independent"
"39" 1.29953260300978 0.3967 4 "accuracy" 4 "independent"
