"value" "sum_stat" "response" "condition" "model" "graph" "time" "instruction"
"1" 0.106187401339199 "fast_mean" "upper" 1 "independent" 1 1 2
"2" 0.102213354834399 "middle_mean" "upper" 1 "independent" 1 1 2
"3" 0.101784541788209 "slow_mean" "upper" 1 "independent" 1 1 2
"4" 0.0982318006173096 "fast_mean" "lower" 1 "independent" 1 1 2
"5" 0.102478120793852 "middle_mean" "lower" 1 "independent" 1 1 2
"6" 0.103484515877392 "slow_mean" "lower" 1 "independent" 1 1 2
"7" 0.106055162734932 "fast_mean" "upper" 2 "independent" 1 1 2
"8" 0.101990956813899 "middle_mean" "upper" 2 "independent" 1 1 2
"9" 0.101769935603413 "slow_mean" "upper" 2 "independent" 1 1 2
"10" 0.0979514697950472 "fast_mean" "lower" 2 "independent" 1 1 2
"11" 0.102639603236005 "middle_mean" "lower" 2 "independent" 1 1 2
"12" 0.103062515380429 "slow_mean" "lower" 2 "independent" 1 1 2
"13" 0.10611948511249 "fast_mean" "upper" 3 "independent" 1 1 2
"14" 0.101857308108311 "middle_mean" "upper" 3 "independent" 1 1 2
"15" 0.101339032899231 "slow_mean" "upper" 3 "independent" 1 1 2
"16" 0.0976682283479999 "fast_mean" "lower" 3 "independent" 1 1 2
"17" 0.102111409773016 "middle_mean" "lower" 3 "independent" 1 1 2
"18" 0.103351351623994 "slow_mean" "lower" 3 "independent" 1 1 2
"19" 0.106050957895004 "fast_mean" "upper" 4 "independent" 1 1 2
"20" 0.101742568808472 "middle_mean" "upper" 4 "independent" 1 1 2
"21" 0.101152299900071 "slow_mean" "upper" 4 "independent" 1 1 2
"22" 0.0974454563278756 "fast_mean" "lower" 4 "independent" 1 1 2
"23" 0.102039613237424 "middle_mean" "lower" 4 "independent" 1 1 2
"24" 0.10283760773768 "slow_mean" "lower" 4 "independent" 1 1 2
"25" 0.105961756179075 "fast_mean" "upper" 5 "independent" 1 1 2
"26" 0.101729095708108 "middle_mean" "upper" 5 "independent" 1 1 2
"27" 0.100935412340513 "slow_mean" "upper" 5 "independent" 1 1 2
"28" 0.0964985087994028 "fast_mean" "lower" 5 "independent" 1 1 2
"29" 0.101616623547701 "middle_mean" "lower" 5 "independent" 1 1 2
"30" 0.102740844630743 "slow_mean" "lower" 5 "independent" 1 1 2
"31" 0.106041706075413 "fast_mean" "upper" 6 "independent" 1 1 2
"32" 0.101513439346082 "middle_mean" "upper" 6 "independent" 1 1 2
"33" 0.10063748548554 "slow_mean" "upper" 6 "independent" 1 1 2
"34" 0.0964984626566362 "fast_mean" "lower" 6 "independent" 1 1 2
"35" 0.100777692284873 "middle_mean" "lower" 6 "independent" 1 1 2
"36" 0.102197939480444 "slow_mean" "lower" 6 "independent" 1 1 2
"37" 0.0241458353501514 "fast_mean" "upper" 7 "independent" 1 1 1
"38" 0.0232555894502652 "middle_mean" "upper" 7 "independent" 1 1 1
"39" 0.0231454774198671 "slow_mean" "upper" 7 "independent" 1 1 1
"40" 0.0221232662623388 "fast_mean" "lower" 7 "independent" 1 1 1
"41" 0.0230001104219367 "middle_mean" "lower" 7 "independent" 1 1 1
"42" 0.0231925416732267 "slow_mean" "lower" 7 "independent" 1 1 1
"43" 0.0240916066015084 "fast_mean" "upper" 8 "independent" 1 1 1
"44" 0.0232256863568162 "middle_mean" "upper" 8 "independent" 1 1 1
"45" 0.0231189643454592 "slow_mean" "upper" 8 "independent" 1 1 1
"46" 0.0220374033679009 "fast_mean" "lower" 8 "independent" 1 1 1
"47" 0.0229266552440899 "middle_mean" "lower" 8 "independent" 1 1 1
"48" 0.0231550151268008 "slow_mean" "lower" 8 "independent" 1 1 1
"49" 0.024004811590015 "fast_mean" "upper" 9 "independent" 1 1 1
"50" 0.0231601485305917 "middle_mean" "upper" 9 "independent" 1 1 1
"51" 0.0230702222838967 "slow_mean" "upper" 9 "independent" 1 1 1
"52" 0.0219228432233095 "fast_mean" "lower" 9 "independent" 1 1 1
"53" 0.0228878580606119 "middle_mean" "lower" 9 "independent" 1 1 1
"54" 0.0230729022284546 "slow_mean" "lower" 9 "independent" 1 1 1
"55" 0.0239925587422697 "fast_mean" "upper" 10 "independent" 1 1 1
"56" 0.0231351764677806 "middle_mean" "upper" 10 "independent" 1 1 1
"57" 0.022963572066263 "slow_mean" "upper" 10 "independent" 1 1 1
"58" 0.0218244533131267 "fast_mean" "lower" 10 "independent" 1 1 1
"59" 0.0228314081723828 "middle_mean" "lower" 10 "independent" 1 1 1
"60" 0.0229687882384448 "slow_mean" "lower" 10 "independent" 1 1 1
"61" 0.0239844520409242 "fast_mean" "upper" 11 "independent" 1 1 1
"62" 0.0230940223031695 "middle_mean" "upper" 11 "independent" 1 1 1
"63" 0.0229042110558381 "slow_mean" "upper" 11 "independent" 1 1 1
"64" 0.0216443630822994 "fast_mean" "lower" 11 "independent" 1 1 1
"65" 0.0226221140098327 "middle_mean" "lower" 11 "independent" 1 1 1
"66" 0.0229284463595405 "slow_mean" "lower" 11 "independent" 1 1 1
"67" 0.0239833832753314 "fast_mean" "upper" 12 "independent" 1 1 1
"68" 0.0230497346672631 "middle_mean" "upper" 12 "independent" 1 1 1
"69" 0.0228105004787029 "slow_mean" "upper" 12 "independent" 1 1 1
"70" 0.0212444149895775 "fast_mean" "lower" 12 "independent" 1 1 1
"71" 0.0224775267272538 "middle_mean" "lower" 12 "independent" 1 1 1
"72" 0.0228511139696115 "slow_mean" "lower" 12 "independent" 1 1 1
"73" 0.106187401339199 "fast_mean" "upper" 13 "independent" 2 1 2
"74" 0.102213354834399 "middle_mean" "upper" 13 "independent" 2 1 2
"75" 0.101784541788209 "slow_mean" "upper" 13 "independent" 2 1 2
"76" 0.0982318006173096 "fast_mean" "lower" 13 "independent" 2 1 2
"77" 0.102478120793852 "middle_mean" "lower" 13 "independent" 2 1 2
"78" 0.103484515877392 "slow_mean" "lower" 13 "independent" 2 1 2
"79" 0.106055162734932 "fast_mean" "upper" 14 "independent" 2 1 2
"80" 0.101990956813899 "middle_mean" "upper" 14 "independent" 2 1 2
"81" 0.101769935603413 "slow_mean" "upper" 14 "independent" 2 1 2
"82" 0.0979514697950472 "fast_mean" "lower" 14 "independent" 2 1 2
"83" 0.102639603236005 "middle_mean" "lower" 14 "independent" 2 1 2
"84" 0.103062515380429 "slow_mean" "lower" 14 "independent" 2 1 2
"85" 0.10611948511249 "fast_mean" "upper" 15 "independent" 2 1 2
"86" 0.101857308108311 "middle_mean" "upper" 15 "independent" 2 1 2
"87" 0.101339032899231 "slow_mean" "upper" 15 "independent" 2 1 2
"88" 0.0976682283479999 "fast_mean" "lower" 15 "independent" 2 1 2
"89" 0.102111409773016 "middle_mean" "lower" 15 "independent" 2 1 2
"90" 0.103351351623994 "slow_mean" "lower" 15 "independent" 2 1 2
"91" 0.106050957895004 "fast_mean" "upper" 16 "independent" 2 1 2
"92" 0.101742568808472 "middle_mean" "upper" 16 "independent" 2 1 2
"93" 0.101152299900071 "slow_mean" "upper" 16 "independent" 2 1 2
"94" 0.0974454563278756 "fast_mean" "lower" 16 "independent" 2 1 2
"95" 0.102039613237424 "middle_mean" "lower" 16 "independent" 2 1 2
"96" 0.10283760773768 "slow_mean" "lower" 16 "independent" 2 1 2
"97" 0.105961756179075 "fast_mean" "upper" 17 "independent" 2 1 2
"98" 0.101729095708108 "middle_mean" "upper" 17 "independent" 2 1 2
"99" 0.100935412340513 "slow_mean" "upper" 17 "independent" 2 1 2
"100" 0.0964985087994028 "fast_mean" "lower" 17 "independent" 2 1 2
"101" 0.101616623547701 "middle_mean" "lower" 17 "independent" 2 1 2
"102" 0.102740844630743 "slow_mean" "lower" 17 "independent" 2 1 2
"103" 0.106041706075413 "fast_mean" "upper" 18 "independent" 2 1 2
"104" 0.101513439346082 "middle_mean" "upper" 18 "independent" 2 1 2
"105" 0.10063748548554 "slow_mean" "upper" 18 "independent" 2 1 2
"106" 0.0964984626566362 "fast_mean" "lower" 18 "independent" 2 1 2
"107" 0.100777692284873 "middle_mean" "lower" 18 "independent" 2 1 2
"108" 0.102197939480444 "slow_mean" "lower" 18 "independent" 2 1 2
"109" 0.0241458353501514 "fast_mean" "upper" 19 "independent" 2 1 1
"110" 0.0232555894502652 "middle_mean" "upper" 19 "independent" 2 1 1
"111" 0.0231454774198671 "slow_mean" "upper" 19 "independent" 2 1 1
"112" 0.0221232662623388 "fast_mean" "lower" 19 "independent" 2 1 1
"113" 0.0230001104219367 "middle_mean" "lower" 19 "independent" 2 1 1
"114" 0.0231925416732267 "slow_mean" "lower" 19 "independent" 2 1 1
"115" 0.0240916066015084 "fast_mean" "upper" 20 "independent" 2 1 1
"116" 0.0232256863568162 "middle_mean" "upper" 20 "independent" 2 1 1
"117" 0.0231189643454592 "slow_mean" "upper" 20 "independent" 2 1 1
"118" 0.0220374033679009 "fast_mean" "lower" 20 "independent" 2 1 1
"119" 0.0229266552440899 "middle_mean" "lower" 20 "independent" 2 1 1
"120" 0.0231550151268008 "slow_mean" "lower" 20 "independent" 2 1 1
"121" 0.024004811590015 "fast_mean" "upper" 21 "independent" 2 1 1
"122" 0.0231601485305917 "middle_mean" "upper" 21 "independent" 2 1 1
"123" 0.0230702222838967 "slow_mean" "upper" 21 "independent" 2 1 1
"124" 0.0219228432233095 "fast_mean" "lower" 21 "independent" 2 1 1
"125" 0.0228878580606119 "middle_mean" "lower" 21 "independent" 2 1 1
"126" 0.0230729022284546 "slow_mean" "lower" 21 "independent" 2 1 1
"127" 0.0239925587422697 "fast_mean" "upper" 22 "independent" 2 1 1
"128" 0.0231351764677806 "middle_mean" "upper" 22 "independent" 2 1 1
"129" 0.022963572066263 "slow_mean" "upper" 22 "independent" 2 1 1
"130" 0.0218244533131267 "fast_mean" "lower" 22 "independent" 2 1 1
"131" 0.0228314081723828 "middle_mean" "lower" 22 "independent" 2 1 1
"132" 0.0229687882384448 "slow_mean" "lower" 22 "independent" 2 1 1
"133" 0.0239844520409242 "fast_mean" "upper" 23 "independent" 2 1 1
"134" 0.0230940223031695 "middle_mean" "upper" 23 "independent" 2 1 1
"135" 0.0229042110558381 "slow_mean" "upper" 23 "independent" 2 1 1
"136" 0.0216443630822994 "fast_mean" "lower" 23 "independent" 2 1 1
"137" 0.0226221140098327 "middle_mean" "lower" 23 "independent" 2 1 1
"138" 0.0229284463595405 "slow_mean" "lower" 23 "independent" 2 1 1
"139" 0.0239833832753314 "fast_mean" "upper" 24 "independent" 2 1 1
"140" 0.0230497346672631 "middle_mean" "upper" 24 "independent" 2 1 1
"141" 0.0228105004787029 "slow_mean" "upper" 24 "independent" 2 1 1
"142" 0.0212444149895775 "fast_mean" "lower" 24 "independent" 2 1 1
"143" 0.0224775267272538 "middle_mean" "lower" 24 "independent" 2 1 1
