"sum_stat" "condition" "response" "model" "len"
"1" "fast_mean" 1 "lower" "independent" 458
"2" "fast_mean" 1 "lower" "normal" 450
"3" "fast_mean" 1 "lower" "t" 451
"4" "fast_mean" 1 "upper" "independent" 498
"5" "fast_mean" 1 "upper" "normal" 491
"6" "fast_mean" 1 "upper" "t" 494
"7" "fast_mean" 2 "lower" "independent" 472
"8" "fast_mean" 2 "lower" "normal" 463
"9" "fast_mean" 2 "lower" "t" 463
"10" "fast_mean" 2 "upper" "independent" 478
"11" "fast_mean" 2 "upper" "normal" 469
"12" "fast_mean" 2 "upper" "t" 471
"13" "fast_mean" 3 "lower" "independent" 483
"14" "fast_mean" 3 "lower" "normal" 479
"15" "fast_mean" 3 "lower" "t" 477
"16" "fast_mean" 3 "upper" "independent" 443
"17" "fast_mean" 3 "upper" "normal" 443
"18" "fast_mean" 3 "upper" "t" 444
"19" "fast_mean" 4 "lower" "independent" 488
"20" "fast_mean" 4 "lower" "normal" 479
"21" "fast_mean" 4 "lower" "t" 485
"22" "fast_mean" 4 "upper" "independent" 418
"23" "fast_mean" 4 "upper" "normal" 412
"24" "fast_mean" 4 "upper" "t" 415
"25" "fast_mean" 5 "lower" "independent" 494
"26" "fast_mean" 5 "lower" "normal" 485
"27" "fast_mean" 5 "lower" "t" 481
"28" "fast_mean" 5 "upper" "independent" 381
"29" "fast_mean" 5 "upper" "normal" 380
"30" "fast_mean" 5 "upper" "t" 379
"31" "fast_mean" 6 "lower" "independent" 492
"32" "fast_mean" 6 "lower" "normal" 469
"33" "fast_mean" 6 "lower" "t" 471
"34" "fast_mean" 6 "upper" "independent" 346
"35" "fast_mean" 6 "upper" "normal" 342
"36" "fast_mean" 6 "upper" "t" 343
"37" "fast_mean" 7 "lower" "independent" 33
"38" "fast_mean" 7 "lower" "normal" 33
"39" "fast_mean" 7 "lower" "t" 33
"40" "fast_mean" 7 "upper" "independent" 39
"41" "fast_mean" 7 "upper" "normal" 38
"42" "fast_mean" 7 "upper" "t" 39
"43" "fast_mean" 8 "lower" "independent" 33
"44" "fast_mean" 8 "lower" "normal" 32
"45" "fast_mean" 8 "lower" "t" 32
"46" "fast_mean" 8 "upper" "independent" 38
"47" "fast_mean" 8 "upper" "normal" 38
"48" "fast_mean" 8 "upper" "t" 38
"49" "fast_mean" 9 "lower" "independent" 31
"50" "fast_mean" 9 "lower" "normal" 31
"51" "fast_mean" 9 "lower" "t" 32
"52" "fast_mean" 9 "upper" "independent" 37
"53" "fast_mean" 9 "upper" "normal" 36
"54" "fast_mean" 9 "upper" "t" 36
"55" "fast_mean" 10 "lower" "independent" 30
"56" "fast_mean" 10 "lower" "normal" 30
"57" "fast_mean" 10 "lower" "t" 30
"58" "fast_mean" 10 "upper" "independent" 35
"59" "fast_mean" 10 "upper" "normal" 34
"60" "fast_mean" 10 "upper" "t" 35
"61" "fast_mean" 11 "lower" "independent" 28
"62" "fast_mean" 11 "lower" "normal" 27
"63" "fast_mean" 11 "lower" "t" 27
"64" "fast_mean" 11 "upper" "independent" 32
"65" "fast_mean" 11 "upper" "normal" 32
"66" "fast_mean" 11 "upper" "t" 32
"67" "fast_mean" 12 "lower" "independent" 24
"68" "fast_mean" 12 "lower" "normal" 25
"69" "fast_mean" 12 "lower" "t" 24
"70" "fast_mean" 12 "upper" "independent" 29
"71" "fast_mean" 12 "upper" "normal" 29
"72" "fast_mean" 12 "upper" "t" 29
"73" "fast_mean" 13 "lower" "independent" 458
"74" "fast_mean" 13 "lower" "normal" 432
"75" "fast_mean" 13 "lower" "t" 431
"76" "fast_mean" 13 "upper" "independent" 498
"77" "fast_mean" 13 "upper" "normal" 476
"78" "fast_mean" 13 "upper" "t" 479
"79" "fast_mean" 14 "lower" "independent" 472
"80" "fast_mean" 14 "lower" "normal" 437
"81" "fast_mean" 14 "lower" "t" 447
"82" "fast_mean" 14 "upper" "independent" 478
"83" "fast_mean" 14 "upper" "normal" 454
